enrollment_id,organization_name,owner_count,individual_owner_count,private_equity_company_owner,reit_owner,holding_company_owner,investment_firm_owner,medical_staffing_company_owner,chain_home_office_owner,corporation_owner,llc_owner,non_profit_owner,for_profit_owner,trust_or_trustee_owner
O20021010000027,"MABEL HEALTHCARE CENTER, INC",10,8,False,False,False,False,False,False,False,True,False,True,False
O20021010000029,INVER WOOD HEALTHCARE CENTER INC,8,6,False,False,False,False,False,False,False,True,False,True,False
O20021010000039,"LAKE ANDES HEALTH CARE CENTER, INC.",10,8,False,False,False,False,False,False,False,True,False,True,False
O20021010000040,"FAULKTON HEALTHCARE CENTER, INC",9,7,False,False,False,False,False,False,True,True,False,True,False
O20021011000016,"TRACY HEALTHCARE CENTER, INC",10,8,False,False,False,False,False,False,False,True,False,True,False
O20021011000017,STERLING PARK HEALTHCARE CENTER INC,11,10,False,False,False,False,False,False,False,True,False,False,False
O20021016000021,WILMOT CARE CENTER,12,12,False,False,False,False,False,False,False,False,False,False,False
O20021017000002,"CLINTON CONVALESCENT CENTER, INC.",12,12,False,False,False,False,False,False,False,False,False,False,False
O20021018000020,SCENIC LIVING COMMUNITIES INC,19,16,False,False,False,False,False,False,False,False,False,False,False
O20021021000028,PRESBYTERIAN HOMES MILL POND INC,20,15,False,False,False,False,False,True,True,True,True,True,False
O20021024000025,BANGOR NURSING & REHABILITATION CENTER,21,21,False,False,False,False,False,False,False,False,False,False,False
O20021025000027,WESLEY RETIREMENT SERVICES INC,14,12,False,False,False,False,False,False,False,False,True,False,False
O20021025000030,THE MANOR INC,11,9,False,False,False,False,False,False,True,False,False,False,False
O20021028000005,"VALLEY VIEW HEALTH AND REHABILITATION, LLC",15,10,False,False,False,False,False,False,True,True,False,True,True
O20021028000015,"CIVIC CENTER HEALTH AND REHABILITATION, LLC",21,13,False,False,False,False,False,False,True,True,False,True,False
O20021028000029,"SOUTH HEALTH AND REHABILITATION, LLC",21,13,False,False,False,False,False,False,True,True,False,True,False
O20021029000008,"CHS - MIAMI VALLEY, INC",14,10,False,False,True,False,False,False,False,True,False,True,False
O20021030000003,OAK KNOLL HEALTH AND REHABILITATION LLC,21,13,False,False,False,False,False,False,True,True,False,True,False
O20021030000005,"WETUMPKA HEALTH AND REHABILITATION, LLC",18,11,False,False,False,False,False,False,True,True,False,True,True
O20021030000012,COUNTY OF ROCKINGHAM,35,32,False,False,False,False,False,False,False,False,True,False,False
O20021101000009,"GATEWAY CARE CENTER, LLC",13,8,False,False,False,False,False,False,False,True,False,True,False
O20021106000007,FAIRVIEW FELLOWSHIP HOME FOR SENIOR CITIZENS INC,2,2,False,False,False,False,False,False,False,False,False,False,False
O20021106000014,"CHS - MT. HEALTHY, INC",14,10,False,False,True,False,False,False,False,True,False,True,True
