zcta,race_total,race_white,race_black,race_aian,race_asian,race_nhpi,race_other,race_multi,pct_white,pct_black,pct_asian,pct_nhpi,hispanic_total,hispanic_count,pct_hispanic,non_hisp_white,median_hh_income,disability_pop_total,disability_count,pct_disability,acs_year
74462,7114,5031,11,1091,79,4,111,787,70.7,0.2,1.1,0.1,7114,458,6.4,4962,49293,0,0,,2024-5yr
74463,2115,1121,278,349,23,4,0,340,53.0,13.1,1.1,0.2,2115,191,9.0,1058,32000,0,0,,2024-5yr
74464,31116,13584,532,10534,287,0,813,5366,43.7,1.7,0.9,0.0,31116,2991,9.6,13093,51262,0,0,,2024-5yr
74467,14400,9563,554,1836,9,6,101,2331,66.4,3.8,0.1,0.0,14400,535,3.7,9469,60036,0,0,,2024-5yr
74468,260,193,0,32,0,0,0,35,74.2,0.0,0.0,0.0,260,7,2.7,186,66875,0,0,,2024-5yr
74469,2221,1168,43,633,0,0,20,357,52.6,1.9,0.0,0.0,2221,85,3.8,1168,54899,0,0,,2024-5yr
74470,1374,810,15,278,15,0,0,256,59.0,1.1,1.1,0.0,1374,10,0.7,806,51250,0,0,,2024-5yr
74471,1475,748,19,468,29,0,9,202,50.7,1.3,2.0,0.0,1475,65,4.4,738,45948,0,0,,2024-5yr
74472,596,456,0,63,0,0,9,68,76.5,0.0,0.0,0.0,596,17,2.9,453,45208,0,0,,2024-5yr
74477,0,0,0,0,0,0,0,0,,,,,0,0,,0,,0,0,,2024-5yr
74501,28616,19595,950,2663,193,64,271,4880,68.5,3.3,0.7,0.2,28616,1836,6.4,18887,57922,0,0,,2024-5yr
74521,54,18,0,32,0,0,2,2,33.3,0.0,0.0,0.0,54,10,18.5,15,35000,0,0,,2024-5yr
74522,128,71,0,13,0,0,0,44,55.5,0.0,0.0,0.0,128,17,13.3,71,68519,0,0,,2024-5yr
74523,5817,4000,89,987,16,27,99,599,68.8,1.5,0.3,0.5,5817,300,5.2,3971,47702,0,0,,2024-5yr
74525,10431,6958,509,931,0,0,36,1997,66.7,4.9,0.0,0.0,10431,550,5.3,6807,52685,0,0,,2024-5yr
74528,144,92,12,17,0,0,0,23,63.9,8.3,0.0,0.0,144,0,0.0,92,69167,0,0,,2024-5yr
