ccn,facility_name,state,type_of_control,fy_begin,fy_end,beds,days_medicare,days_medicaid,days_total,bed_days_available,medicare_days_pct,medicaid_days_pct,private_other_pct,net_patient_revenue,net_income,total_costs,total_salaries,contract_labor,operating_margin_pct,occupancy_pct,contract_labor_pct,medicaid_heavy,financially_stressed
676244,BRIGHTON SENIOR LIVING TOMBALL,TX,4,2023-01-01,2023-04-30,135.0,638.0,7692.0,9104.0,16200.0,7.0,84.5,8.5,2282370.0,183589.0,288675.0,1124790.0,149468.0,8.04,56.2,13.3,True,False
395743,GREENTREE SKILLED NURSING AND REHABI,PA,6,2023-02-01,2023-06-30,180.0,1102.0,14915.0,20453.0,27000.0,5.4,72.9,21.7,6686981.0,-1132961.0,1169709.0,2521709.0,1863393.0,-16.94,75.8,73.9,True,True
165587,NORTHBROOK MANOR CARE CENTER,IA,6,2023-01-01,2023-02-28,130.0,43.0,1889.0,3334.0,7670.0,1.3,56.7,42.1,713819.0,8620.0,22207.0,416241.0,71900.0,1.21,43.5,17.3,False,False
215149,PEAK HEALTHCARE AT DENTON,MD,4,2023-01-01,2023-03-31,100.0,1233.0,5030.0,7257.0,9000.0,17.0,69.3,13.7,2627425.0,-135347.0,193068.0,899147.0,659390.0,-5.15,80.6,73.3,True,True
365531,LANCIA VILLA ROYALE,OH,4,2023-01-01,2023-06-02,52.0,161.0,2615.0,4192.0,7956.0,3.8,62.4,33.8,941741.0,-329568.0,81533.0,591415.0,55931.0,-35.0,52.7,9.5,True,True
395451,INNERS CREEK SKILLED NURSING AND REH,PA,6,2023-02-01,2023-06-30,202.0,1301.0,17878.0,21281.0,30300.0,6.1,84.0,9.9,5971421.0,-584456.0,518615.0,2467240.0,959244.0,-9.79,70.2,38.9,True,True
395527,BETHLEHEM NORTH SKILLED NURSING AND,PA,6,2023-02-01,2023-06-30,217.0,1432.0,22919.0,27077.0,32550.0,5.3,84.6,10.1,7594730.0,-1114617.0,767499.0,2741596.0,2283629.0,-14.68,83.2,83.3,True,True
395834,KING OF PRUSSIA SKILLED NURSING & RE,PA,6,2023-02-01,2023-06-30,170.0,1689.0,12475.0,16846.0,25500.0,10.0,74.1,15.9,5289834.0,-922984.0,806458.0,1932866.0,1489275.0,-17.45,66.1,77.1,True,True
675392,SAN JACINTO MANOR,TX,6,2023-01-01,2023-06-30,96.0,94.0,1213.0,1492.0,17376.0,6.3,81.3,12.4,243387.0,-834696.0,261493.0,380481.0,16824.0,-342.95,8.6,4.4,True,True
675502,PLEASANTON NORTH RETAMA MANOR INC,TX,11,2022-10-01,2023-04-30,46.0,1621.0,4609.0,8107.0,9752.0,20.0,56.9,23.2,2330004.0,-106679.0,647743.0,960014.0,242047.0,-4.58,83.1,25.2,False,False
