ENROLLMENT ID,ENROLLMENT STATE,PROVIDER TYPE CODE,PROVIDER TYPE TEXT,NPI,MULTIPLE NPI FLAG,CCN,ASSOCIATE ID,ORGANIZATION NAME,DOING BUSINESS AS NAME,INCORPORATION DATE,INCORPORATION STATE,ORGANIZATION TYPE STRUCTURE,ORGANIZATION OTHER TYPE TEXT,PROPRIETARY_NONPROFIT,NURSING HOME PROVIDER NAME,AFFILIATION ENTITY NAME,AFFILIATION ENTITY ID,ADDRESS LINE 1,ADDRESS LINE 2,CITY,STATE,ZIP CODE
O20170705001494,TX,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1932652070,N,675910,6901709013,MIDLAND COUNTY HOSPITAL DISTRICT,FOCUSED CARE AT HOGAN PARK,,,OTHER,FEDERAL AND/OR STATE GOVERNMENT TYPE,N,FOCUSED CARE AT HOGAN PARK,FOCUSED POST ACUTE CARE PARTNERS,224,3203 SAGE ST,,MIDLAND,TX,797055711
O20170705002992,PA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1659815157,N,395893,9133498231,CARE PAVILION OPERATING LLC,CARE PAVILION NURSING AND REHABILITATION CENTER,2016-06-03,PA,LLC,,P,,,,6212 WALNUT STREET,,PHILADELPHIA,PA,191393706
O20170705003472,TX,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1770604365,N,455463,6002054764,FANNIN COUNTY HOSPITAL AUTHORITY,THE MEADOWS HEALTH AND REHABILITATION CENTER,,,OTHER,FEDERAL AND/OR STATE GOVERNMENT TYPE,N,THE MEADOWS HEALTH AND REHABILITATION CENTER,SUMMIT LTC,496,8383 MEADOW RD,,DALLAS,TX,752313701
O20170706000067,NC,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1497283899,N,345267,9739458852,BLADEN EAST HEALTH AND REHAB LLC,,2017-05-04,NC,LLC,,P,BLADEN EAST HEALTH AND REHAB,,,804 S POPLAR ST,,ELIZABETHTOWN,NC,283379226
O20170706000563,TX,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1245214642,N,676298,3375593510,OAKBEND MEDICAL CENTER,SPJST REST HOME 2,,,OTHER,HOSPITAL DISTRICT/AUTHORITY,N,SPJST REST HOME NO 2,,,8611 MAIN ST,,NEEDVILLE,TX,774618136
O20170706002373,TX,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1154442143,N,675356,3375593510,OAKBEND MEDICAL CENTER,WINDSOR NURSING AND REHABILITATION CENTER OF BASTROP,,,OTHER,HOSPITAL DISTRICT/AUTHORITY,N,WINDSOR NURSING AND REHABILITATION CENTER OF BASTROP,WELLSENTIAL HEALTH,670,400 OLD AUSTIN HWY,WINDSOR NURSING AND REHABILITATION,BASTROP,TX,786025168
O20170707000736,TX,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1932245065,N,455497,9032103700,SOUTH LIMESTONE HOSPITAL DISTRICT,CREEKSIDE TERRACE REHABILITATION,,,OTHER,FEDERAL AND/OR STATE GOVERNMENT TYPE,N,CREEKSIDE TERRACE REHABILITATION,FUNDAMENTAL HEALTHCARE,231,1555 POWELL AVE.,,BELTON,TX,765137453
O20170707001880,TX,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1396285268,N,675832,6305755901,MCCULLOCH COUNTY HOSPITAL DISTRICT,RISING STAR NURSING CENTER,,,OTHER,FEDERAL AND/OR STATE GOVERNMENT TYPE,N,RISING STAR NURSING CENTER,,,411 S MILLER ST,,RISING STAR,TX,764715214
O20170707002015,TX,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1346550654,N,676276,8325934813,DALLAS COUNTY HOSPITAL DISTRICT,LAKEWEST REHABILITATION AND SKILLED CARE,,,OTHER,GOVT ENTITY-HOSPITAL DISTRICT,N,LAKEWEST REHABILITATION AND SKILLED CARE,MOMENTUM SKILLED SERVICES,360,2450 BICKERS ST,,DALLAS,TX,752121507
O20170707002326,TX,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1720404981,N,676308,9032103700,SOUTH LIMESTONE HOSPITAL DISTRICT,SAN GABRIEL REHABILITATION AND CARE CENTER,,,OTHER,FEDERAL AND/OR STATE GOVERNMENT TYPE,N,SAN GABRIEL REHABILITATION AND CARE CENTER,FUNDAMENTAL HEALTHCARE,231,4100 COLLEGE PARK DR,,ROUND ROCK,TX,786651522
O20170708000001,TX,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1295856870,N,455652,7315832722,UVALDE COUNTY HOSPITAL AUTHORITY,SILVER CREEK NURSING AND REHABILITATION,,,OTHER,HOSPITAL AUTHORITY,N,SILVER CREEK NURSING AND REHABILITATION,EDURO HEALTHCARE,193,9014 TIMBER PATH,,SAN ANTONIO,TX,782504172
O20170708000022,TX,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1316308463,N,675076,7315832722,UVALDE COUNTY HOSPITAL AUTHORITY,LLANO NURSING AND REHABILITATION CENTER,,,OTHER,HOSPITAL AUTHORITY,N,LLANO NURSING AND REHABILITATION CENTER,SLP OPERATIONS,730,800 W HAYNIE ST,,LLANO,TX,786431905
O20170708000093,TX,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1932649803,N,676219,5890602759,PALO PINTO COUNTY HOSPITAL DISTRICT,WINDCREST HEALTH & REHABILITATION,,,OTHER,HOSPITAL DISTRICT,N,WINDCREST HEALTH & REHABILITATION,ADVANCED HEALTHCARE SOLUTIONS,13,6050 HOSPITAL DR,,ABILENE,TX,796065252
O20170708000193,TX,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1780124594,N,675424,7719886282,CORYELL COUNTY MEMORIAL HOSPITAL AUTHORITY,ADVANCED REHABILITATION AND HEALTHCARE OF ATHENS,,,OTHER,HOSPITAL AUTHORITY,N,ADVANCED REHABILITATION AND HEALTHCARE OF ATHENS,ADVANCED HEALTHCARE SOLUTIONS,13,121 COMMONS,,ATHENS,TX,757510009
O20170710000168,TX,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1730629544,N,675976,7719886282,CORYELL COUNTY MEMORIAL HOSPITAL AUTHORITY,WINFIELD REHAB & NURSING,,,OTHER,HOSPITAL AUTHORITY,N,WINFIELD REHAB & NURSING,ADVANCED HEALTHCARE SOLUTIONS,13,1108 E LOOP 304,,CROCKETT,TX,758351810
O20170710000297,TX,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1386184190,N,675624,7719886282,CORYELL COUNTY MEMORIAL HOSPITAL AUTHORITY,WHITEHALL REHAB & NURSING,,,OTHER,HOSPITAL AUTHORITY,N,WHITEHALL REHAB & NURSING,ADVANCED HEALTHCARE SOLUTIONS,13,1116 E LOOP 304,,CROCKETT,TX,758351810
O20170710000539,TX,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1043750854,N,676211,7719886282,CORYELL COUNTY MEMORIAL HOSPITAL AUTHORITY,WESLEY WOODS HEALTH & REHABILITATION,,,OTHER,HOSPITAL AUTHORITY,N,WESLEY WOODS HEALTH & REHABILITATION,CORYELL COUNTY MEMORIAL HOSPITAL AUTHORITY,163,1700 WOODGATE DR,,WACO,TX,767128600
