ccn,provider_name,state,city,zip,snfrm_achievement,snfrm_improvement,snfrm_measure_score,hai_achievement,hai_improvement,hai_measure_score,turnover_score,staffing_score,performance_score,incentive_payment_multiplier,vbp_penalty,vbp_bonus
395720,"HOMESTEAD VILLAGE, INC",PA,LANCASTER,17604,2.56713,2.50609,2.56713,4.17163,6.30000,6.30000,7.19152,7.25272,58.27844,1.0134833385,False,True
395721,"PARAMOUNT NURSING AND REHAB AT FAYETTEVILLE, LLC",PA,FAYETTEVILLE,17222,7.85363,6.65723,7.85363,0.00000,0.00000,0.00000,6.49250,1.84485,40.47745,0.9933968007,True,False
395722,UNIVERSITY CITY REHABILITATION AND HEALTHCARE CTR,PA,PHILADELPHIA,19104,3.02026,3.65076,3.65076,1.26646,0.00000,1.26646,1.24760,0.00000,15.41204,0.9814678814,True,False
395726,HARMON HOUSE HEALTH & REHAB CENTER,PA,MOUNT PLEASANT,15666,2.53045,---,2.53045,1.60785,---,1.60785,6.88255,2.70409,34.31232,0.9882946869,True,False
395728,SNYDER MEMORIAL HEALTH CARE CE,PA,MARIENVILLE,16239,3.35903,---,3.35903,4.75065,---,4.75065,1.00427,4.25497,33.4223,0.9877013968,True,False
395729,"GARDENS AT EASTON, THE",PA,EASTON,18042,---,---,---,---,---,---,8.48486,1.91035,51.97606,1.0064268792,False,True
395730,KADIMA REHABILITATION & NURSING AT LAKESIDE,PA,DALLAS,18612,---,---,---,---,---,---,3.13154,5.68847,44.10004,0.9971596119,True,False
395731,SOUTH HILLS POST ACUTE,PA,BETHEL PARK,15102,0.00000,0.27744,0.27744,6.79230,3.56456,6.79230,3.44780,0.00000,26.29386,0.9841110211,True,False
395732,HERITAGE CARE CENTER,PA,PITTSBURGH,15217,2.18737,2.07937,2.18737,6.62495,1.64808,6.62495,0.00000,3.35989,30.43053,0.98595656,True,False
395733,GETTYSBURG CENTER,PA,GETTYSBURG,17325,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.75903,1.45159,13.02653,0.9811638868,True,False
395735,LIFEQUEST NURSING CENTER,PA,QUAKERTOWN,18951,3.86178,0.00000,3.86178,7.11361,0.00000,7.11361,3.17451,4.16420,45.78526,0.999061524,True,False
395736,WILLOWBROOKE COURT-GRANITE,PA,MEDIA,19063,4.17682,0.00000,4.17682,5.80160,0.00000,5.80160,---,---,49.89208,1.003927798,False,True
395738,PAUL'S RUN,PA,PHILADELPHIA,19115,1.53572,2.73621,2.73621,2.36761,0.00000,2.36761,8.58982,2.84767,41.35329,0.9942596394,True,False
395740,WEST CHESTER REHABILITATION AND HEALTHCARE CENTER,PA,WEST CHESTER,19382,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,5.41592,1.28154,16.74364,0.9816696999,True,False
395742,SOUTHWESTERN NURSING AND REHABILITATION CENTER,PA,PITTSBURGH,15122,1.83565,0.00000,1.83565,4.75065,0.00000,4.75065,2.38714,0.64436,24.0445,0.9833404188,True,False
395743,CARNEGIE PARK POST ACUTE,PA,PITTSBURGH,15220,5.14996,0.00000,5.14996,2.07308,0.00000,2.07308,0.00000,1.08798,20.77755,0.9824569957,True,False
395745,BALDWIN HEALTH CENTER,PA,PITTSBURGH,15227,---,---,---,---,---,---,0.62038,1.77717,11.98774,0.9810515609,True,False
395746,CARLISLE SKILLED NURSING AND REHABILITATION CENTER,PA,CARLISLE,17013,1.68461,0.00000,1.68461,0.00000,0.00000,0.00000,2.62717,1.44027,14.38014,0.9813279354,True,False
395749,RITTENHOUSE POST ACUTE,PA,PHILADELPHIA,19104,2.31899,4.16581,4.16581,7.68594,0.00000,7.68594,---,---,59.25877,1.0144619641,False,True
395751,ROCHESTER RESIDENCE AND CARE CENTER,PA,ROCHESTER,15074,---,---,---,---,---,---,1.09015,0.80429,9.47218,0.9808216766,True,False
395752,MORAVIAN HALL SQUARE HEALTH AND WELLNESS CENTER,PA,NAZARETH,18064,0.00000,0.00000,0.00000,6.30030,0.00000,6.30030,4.30905,6.70322,43.28142,0.9962668376,True,False
395753,BEAUMONT AT BRYN MAWR,PA,BRYN MAWR,19010,3.56186,0.86221,3.56186,2.66549,0.00000,2.66549,10.00000,10.00000,65.56836,1.0197383175,False,True
395756,JUNIPER VILLAGE AT BROOKLINE-REHABILITATION AND SK,PA,STATE COLLEGE,16801,3.66543,0.00000,3.66543,6.15972,0.00000,6.15972,---,4.19365,46.72935,1.0001581095,False,True
395757,EDGEHILL NURSING AND REHAB CEN,PA,GLENSIDE,19038,0.61220,---,0.61220,1.12588,---,1.12588,1.26925,2.72675,14.33522,0.9813221477,True,False
395758,KADIMA REHABILITATION & NURSING AT HARMONY,PA,HARMONY,16037,---,---,---,---,---,---,0.00000,2.53864,12.69322,0.9811266256,True,False
395760,CEDAR CREST POST ACUTE,PA,ALLENTOWN,18103,0.00000,0.00000,0.00000,2.78263,0.00000,2.78263,5.83164,0.93891,23.88296,0.9832905512,True,False
395762,WILLOWBROOKE COURT SKILLED CARE CENTER AT BRITTANY,PA,LANSDALE,19446,0.00000,0.00000,0.00000,1.42376,0.00000,1.42376,10.00000,8.14155,48.91328,1.0027517067,False,True
395763,FELLOWSHIP MANOR,PA,WHITEHALL,18052,5.62899,0.00000,5.62899,8.62644,0.00000,8.62644,6.04524,4.27107,61.42933,1.0164818206,False,True
395764,LIBERTY CENTER FOR REHABILITATION AND NURSING,PA,PHILADELPHIA,19150,3.57264,0.00000,3.57264,4.08126,0.00000,4.08126,3.86375,0.57288,30.22632,0.985850799,True,False
395767,ROSE VIEW NURSING AND REHABILITATION CENTER,PA,WILLIAMSPORT,17701,2.64912,0.00000,2.64912,0.00000,0.00000,0.00000,0.65708,1.88477,12.97744,0.9811583243,True,False
395768,MEADOWOOD,PA,LANSDALE,19446,7.95936,7.30847,7.95936,10.00000,9.00000,10.00000,10.00000,6.10027,85.14908,1.0267251345,False,True
395770,CEDAR HAVEN HEALTHCARE CENTER,PA,LEBANON,17042,5.25138,5.84151,5.84151,2.93659,4.60729,4.60729,---,2.93229,44.60363,0.9977194939,True,False
395771,LAKESIDE AT WILLOW VALLEY,PA,WILLOW STREET,17584,3.95888,0.00000,3.95888,4.20509,0.00000,4.20509,2.25943,10.00000,51.05853,1.0053297113,False,True
395773,EAST END HEALTH & REHAB CENTER,PA,PITTSBURGH,15206,1.77092,0.00000,1.77092,3.90387,0.00000,3.90387,2.64357,3.60715,29.81375,0.9856420509,True,False
395774,LANCASTER NURSING AND REHABILITATION CENTER,PA,LANCASTER,17602,9.45684,9.00000,9.45684,5.97899,0.00000,5.97899,0.97980,0.00000,41.03909,0.9939464107,True,False
395775,SENA KEAN NURSING AND REHABILITATION CENTER,PA,SMETHPORT,16749,3.84668,0.00000,3.84668,5.21588,0.00000,5.21588,0.00000,1.13173,25.48573,0.9838171858,True,False
395777,SUGAR CREEK CARE CENTER,PA,FRANKLIN,16323,3.12167,0.00000,3.12167,3.90721,0.00000,3.90721,---,4.71624,39.15041,0.9921524034,True,False
395778,"COMMUNITIES AT INDIAN HAVEN,",PA,INDIANA,15701,3.55107,3.10918,3.55107,1.87560,0.00000,1.87560,3.34675,3.16764,29.85265,0.9856614551,True,False
395779,CENTRE CARE REHABILITATION AND WELLNESS SERVICES,PA,BELLEFONTE,16823,10.00000,9.00000,10.00000,8.85069,0.00000,8.85069,5.76802,2.34108,67.39948,1.0209306884,False,True
395780,FAIR ACRES GERIATRIC CENTER,PA,LIMA,19037,7.52565,0.00000,7.52565,2.99349,0.00000,2.99349,10.00000,5.10722,64.0659,1.0186474818,False,True
395782,FAIRVIEW NURSING AND REHABILITATION CENTER,PA,PHILADELPHIA,19118,1.81623,0.00000,1.81623,6.83581,0.00000,6.83581,0.00000,1.45022,25.25565,0.983737107,True,False
395783,PETERS TOWNSHIP POST ACUTE,PA,MCMURRAY,15317,0.00000,0.00000,0.00000,5.89866,0.96709,5.89866,0.57683,0.00000,16.18872,0.9815825339,True,False
395784,"CHURCH OF GOD HOME, INC",PA,CARLISLE,17013,5.10465,0.00000,5.10465,6.32038,0.71184,6.32038,3.51435,4.03654,47.4398,1.0009947117,False,True
395785,STONEBRIDGE HEALTH & REHABILITATION CENTER,PA,DUNCANNON,17020,0.00000,0.00000,0.00000,5.22592,0.00000,5.22592,5.98529,2.18435,33.48891,0.9877445846,True,False
395786,PLEASANT VIEW COMMUNITIES,PA,MANHEIM,17545,4.53500,0.00000,4.53500,3.95407,0.00000,3.95407,3.74141,6.85208,47.70641,1.0013107328,False,True
395787,"VALLEY VIEW HAVEN, INC",PA,BELLEVILLE,17004,5.36142,0.00000,5.36142,5.86184,0.00000,5.86184,10.00000,4.94989,65.43289,1.0196441798,False,True
395788,SUNNYVIEW NURSING AND REHABILITATION CENTER,PA,BUTLER,16001,3.11304,1.07175,3.11304,5.59409,0.00000,5.59409,3.89457,2.23112,37.08207,0.9903712105,True,False
395790,SENECA PLACE,PA,VERONA,15147,0.00000,0.00000,0.00000,2.55504,0.00000,2.55504,0.00000,3.35880,14.7846,0.9813811738,True,False
395791,COMPLETE CARE AT HARSTON HALL LLC,PA,FLOURTOWN,19031,2.89942,0.00000,2.89942,3.16084,0.00000,3.16084,4.38343,3.60191,35.114,0.9888595553,True,False
395793,ORCHARD MANOR,PA,GROVE CITY,16127,---,---,---,---,---,---,1.18777,2.59181,18.89792,0.9820539499,True,False
