YEAR,YEAR_TYPE,SMRY_CTGRY,SRVC_CTGRY,PRVDR_ID,PRVDR_NAME,PRVDR_CITY,STATE,PRVDR_ZIP,BENE_DSTNCT_CNT,TOT_EPSD_STAY_CNT,TOT_SRVC_DAYS,TOT_CHRG_AMT,TOT_ALOWD_AMT,TOT_MDCR_PYMT_AMT,TOT_MDCR_STDZD_PYMT_AMT,BENE_DUAL_PCT,BENE_RRL_PCT,BENE_AVG_AGE,BENE_MALE_PCT,BENE_FEML_PCT,BENE_RACE_WHT_PCT,BENE_RACE_BLACK_PCT,BENE_RACE_API_PCT,BENE_RACE_HSPNC_PCT,BENE_RACE_NATIND_PCT,BENE_RACE_UNK_PCT,BENE_RACE_OTHR_PCT,BENE_AVG_RISK_SCRE,BENE_CC_BH_ADHD_OTHCD_V1_PCT,BENE_CC_BH_ALCOHOL_DRUG_V1_PCT,BENE_CC_BH_ALZ_NONALZDEM_V2_PCT,BENE_CC_BH_ANXIETY_V1_PCT,BENE_CC_BH_BIPOLAR_V1_PCT,BENE_CC_BH_DEPRESS_V1_PCT,BENE_CC_BH_MOOD_V2_PCT,BENE_CC_BH_PD_V1_PCT,BENE_CC_BH_PTSD_V1_PCT,BENE_CC_BH_SCHIZO_OTHPSY_V1_PCT,BENE_CC_BH_TOBACCO_V1_PCT,BENE_CC_PH_AFIB_V2_PCT,BENE_CC_PH_ARTHRITIS_V2_PCT,BENE_CC_PH_ASTHMA_V2_PCT,BENE_CC_PH_CANCER6_V2_PCT,BENE_CC_PH_CKD_V2_PCT,BENE_CC_PH_COPD_V2_PCT,BENE_CC_PH_DIABETES_V2_PCT,BENE_CC_PH_HF_NONIHD_V2_PCT,BENE_CC_PH_HYPERLIPIDEMIA_V2_PCT,BENE_CC_PH_HYPERTENSION_V2_PCT,BENE_CC_PH_ISCHEMICHEART_V2_PCT,BENE_CC_PH_OSTEOPOROSIS_V2_PCT,BENE_CC_PH_PARKINSON_V2_PCT,BENE_CC_PH_STROKE_TIA_V2_PCT,PRMRY_DX_INFCTN_PCT,PRMRY_DX_NEOBLD_PCT,PRMRY_DX_ENDONUTRMET_PCT,PRMRY_DX_MNTBEHNEUDIS_PCT,PRMRY_DX_NERVSYSTM_PCT,PRMRY_DX_ENTSYS_PCT,PRMRY_DX_CIRCSYSTM_PCT,PRMRY_DX_RSPSYSTM_PCT,PRMRY_DX_DIGSYSTM_PCT,PRMRY_DX_SKNMUSSYSTM_PCT,PRMRY_DX_GUSYSTM_PCT,PRMRY_DX_PRGPERICONG_PCT,PRMRY_DX_SXILLDEF_PCT,PRMRY_DX_INJPOIS_PCT,PRMRY_DX_HLTHSRV_PCT,high_therapy_intensity,high_dual_pct
2023,FY,PROVIDER,SNF,265617,Spring River Christian Village Inc,Joplin,MO,64801,43,56,1349,1067342,689409,544037,714568,*,*,80,44,56,93,*,0,*,*,0,0,3.42,0,*,33,47,*,70,70,*,0,*,*,53,*,*,*,65,58,49,60,*,*,67,*,*,28,0,*,*,0,*,0,*,25,0,*,*,0,0,34,*,,
2023,FY,PROVIDER,SNF,265618,South Hampton Place,Columbia,MO,65203,40,55,1912,1266633,988025,711141,857514,53,*,75,55,45,93,*,*,0,0,*,0,2.47,0,*,50,55,*,*,*,*,*,*,35,43,63,*,*,45,35,48,60,*,*,45,*,*,*,*,*,*,*,*,0,*,*,*,*,*,0,0,20,*,,True
2023,FY,PROVIDER,SNF,265620,Hillcrest Care Center Inc,De Soto,MO,63020,19,22,459,291018,252978,210017,223915,*,*,80,*,*,95,0,0,*,0,*,0,3.25,*,*,*,*,*,*,*,0,*,*,*,*,*,*,*,*,*,*,*,100,100,*,*,*,*,0,*,0,0,*,0,*,*,*,0,*,0,0,*,*,,
2023,FY,PROVIDER,SNF,265621,Livingston Manor Care Center,Chillicothe,MO,64601,37,52,1301,874180,663267,511672,615434,51,*,80,41,59,97,*,0,0,0,*,0,2.75,*,0,59,49,*,57,62,*,*,*,*,35,57,0,*,43,*,54,43,*,*,41,*,*,*,0,*,0,*,*,0,*,*,*,*,*,0,*,*,*,,True
2023,FY,PROVIDER,SNF,265625,St Andrew's At New Florence,New Florence,MO,63363,39,51,1271,474594,670391,542484,653439,28,72,82,46,54,100,0,0,0,0,0,0,1.95,0,*,51,54,*,56,62,*,*,*,*,33,69,*,*,56,44,46,46,*,*,54,28,*,33,*,0,*,0,*,0,31,*,*,*,*,0,0,*,*,,False
2023,FY,PROVIDER,SNF,265627,Garden View Care Center Of Chesterfield,Chesterfield,MO,63017,43,46,941,420618,534269,451704,486863,*,0,85,42,58,95,0,0,0,0,*,*,2.24,*,*,67,58,*,70,72,*,*,*,*,37,*,*,30,65,*,30,53,*,*,49,33,*,*,0,*,0,*,24,*,*,*,*,*,*,0,0,*,*,,
2023,FY,PROVIDER,SNF,265629,Oregon Healthcare,Oregon,MO,64473,34,39,766,380139,404582,341620,408323,38,59,82,32,68,100,0,0,0,0,0,0,2.59,*,*,47,68,*,*,*,*,*,*,*,56,*,*,*,68,47,44,62,*,100,44,*,*,*,*,*,*,0,*,0,*,*,*,*,*,0,*,*,*,,True
2023,FY,PROVIDER,SNF,265632,Hickory Manor,Licking,MO,65542,30,35,1257,1038375,627377,458838,553929,43,*,82,40,60,100,0,0,0,0,0,0,2.4,*,*,63,60,*,43,47,0,*,*,*,57,*,*,*,47,47,47,57,*,*,53,*,*,*,*,0,0,*,0,0,*,*,0,0,*,0,0,*,*,,True
2023,FY,PROVIDER,SNF,265633,Cameron Nursing Center,Cameron,MO,64429,85,118,3116,931122,1879053,1491260,1649615,48,20,79,42,58,100,0,0,0,0,0,0,2.9,*,*,29,46,19,49,53,*,*,*,18,59,75,*,18,55,58,49,61,85,*,52,20,*,24,*,*,*,*,*,0,11,16,*,11,18,0,*,18,*,,True
2023,FY,PROVIDER,SNF,265634,Lacoba Homes Inc,Monett,MO,65708,59,72,2703,1643609,1449406,1093483,1324355,27,*,85,29,71,95,0,*,*,*,0,0,2.1,0,*,46,37,*,59,61,0,0,*,*,42,81,*,34,61,36,39,61,81,*,53,37,*,29,*,*,*,*,*,0,*,21,0,*,18,0,0,25,*,,False
2023,FY,PROVIDER,SNF,265636,Nazareth Living Center,Saint Louis,MO,63129,153,179,3516,3000745,2092969,1820920,1948837,10,*,82,40,60,95,0,*,*,0,*,*,2.67,*,15,54,52,24,61,65,*,*,8,12,48,79,11,26,61,36,40,59,84,93,61,35,11,25,*,*,*,0,16,*,9,8,*,15,6,0,*,30,*,,False
2023,FY,PROVIDER,SNF,265637,Timberlake Care Center,Kansas City,MO,64145,21,32,993,923890,574053,424487,472587,*,0,68,*,*,*,52,0,*,0,*,0,7.49,*,*,*,*,*,*,*,*,0,*,*,*,*,*,*,*,*,*,*,*,100,*,0,*,*,*,*,*,0,*,0,*,*,0,*,*,0,*,0,*,,
2023,FY,PROVIDER,SNF,265638,Baptist Homes Tri-County,Vandalia,MO,63382,30,37,935,463516,454967,356790,431317,*,*,82,*,*,93,*,0,0,0,*,0,2.04,*,0,47,60,*,60,60,*,0,*,*,47,*,*,*,60,*,50,63,*,100,50,*,*,43,*,0,*,*,*,0,32,*,0,0,*,0,*,*,0,,
2023,FY,PROVIDER,SNF,265639,Lenoir Health Care Center,Columbia,MO,65201,43,50,794,467326,409231,370060,432338,*,*,84,42,58,95,0,0,*,0,*,0,1.56,0,*,42,51,0,53,56,*,0,*,*,33,67,*,*,26,28,*,49,72,*,37,37,*,30,*,*,*,*,*,0,*,*,0,*,*,0,0,*,*,,
2023,FY,PROVIDER,SNF,265643,Village Care Center Inc,Maryville,MO,64468,27,33,1182,774171,609400,473396,568310,44,0,80,44,56,96,0,0,*,0,*,0,2.51,0,*,41,*,*,44,44,*,*,*,*,44,*,*,*,52,48,41,44,*,100,44,*,*,*,*,*,0,0,*,0,*,*,0,*,*,0,0,*,*,,True
2023,FY,PROVIDER,SNF,265644,Mclarney Manor,Brookfield,MO,64628,23,31,907,440142,471203,365938,439506,48,*,86,*,*,100,0,0,0,0,0,0,1.83,0,0,*,*,0,52,52,0,0,*,*,48,*,*,*,*,52,48,*,*,*,52,*,*,*,*,0,*,*,0,0,*,*,0,*,*,0,*,*,*,,True
2023,FY,PROVIDER,SNF,265645,Country Club Rehab And Healthcare Center,Warrensburg,MO,64093,110,150,3764,2419561,2225794,1812731,2182675,36,*,80,42,58,95,*,*,*,0,*,*,2.37,*,10,57,65,14,68,71,*,*,10,12,39,74,17,15,54,36,53,55,89,*,57,15,10,29,*,*,*,0,14,0,22,8,*,21,*,0,*,12,16,,True
