HCPCS_Cd,RBCS_Id,RBCS_Cat,RBCS_Cat_Desc,RBCS_Cat_Subcat,RBCS_Subcat_Desc,RBCS_FamNumb,RBCS_Family_Desc,RBCS_Major_Ind,HCPCS_Cd_Add_Dt,HCPCS_Cd_End_Dt,RBCS_Latest_Assignment,First_RBCS_Release_Year,RBCS_Analysis_Start_Dt,RBCS_Analysis_End_Dt,Alt_Assignment_Method,RBCS_Id_Ever_Reassigned
33989,PC000M,P,Procedure,PC,Cardiovascular,000,No RBCS Family,M,01/01/2015,12/31/9999,1,2020,01/01/2015,12/31/9999,0,0
33990,PC000M,P,Procedure,PC,Cardiovascular,000,No RBCS Family,M,01/01/2013,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
33991,PC000M,P,Procedure,PC,Cardiovascular,000,No RBCS Family,M,01/01/2013,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
33995,PC000M,P,Procedure,PC,Cardiovascular,000,No RBCS Family,M,01/01/2021,12/31/9999,1,2023,01/01/2021,12/31/9999,0,0
33999,PC000M,P,Procedure,PC,Cardiovascular,000,No RBCS Family,M,01/01/1984,12/31/9999,0,2020,01/01/2014,12/31/2022,0,1
34806,PC000M,P,Procedure,PC,Cardiovascular,000,No RBCS Family,M,01/01/2008,12/31/2017,1,2022,01/01/2014,12/31/2017,0,1
35500,PC000M,P,Procedure,PC,Cardiovascular,000,No RBCS Family,M,01/01/1999,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
35572,PC000M,P,Procedure,PC,Cardiovascular,000,No RBCS Family,M,01/01/2003,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
35600,PC000M,P,Procedure,PC,Cardiovascular,000,No RBCS Family,M,01/01/2001,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
35697,PC000M,P,Procedure,PC,Cardiovascular,000,No RBCS Family,M,01/01/2004,12/31/9999,0,2020,01/01/2014,12/31/2022,0,1
36822,PC000M,P,Procedure,PC,Cardiovascular,000,No RBCS Family,M,01/01/1989,12/31/2014,1,2020,01/01/2014,12/31/2014,0,0
92925,PC000M,P,Procedure,PC,Cardiovascular,000,No RBCS Family,M,01/01/2013,12/31/9999,0,2021,01/01/2014,12/31/2023,0,1
92986,PC000M,P,Procedure,PC,Cardiovascular,000,No RBCS Family,M,01/01/1992,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
92987,PC000M,P,Procedure,PC,Cardiovascular,000,No RBCS Family,M,01/01/1996,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
92990,PC000M,P,Procedure,PC,Cardiovascular,000,No RBCS Family,M,01/01/1992,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
93582,PC000M,P,Procedure,PC,Cardiovascular,000,No RBCS Family,M,01/01/2014,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
93583,PC000M,P,Procedure,PC,Cardiovascular,000,No RBCS Family,M,01/01/2014,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
93590,PC000M,P,Procedure,PC,Cardiovascular,000,No RBCS Family,M,01/01/2017,12/31/9999,1,2020,01/01/2017,12/31/9999,0,0
93591,PC000M,P,Procedure,PC,Cardiovascular,000,No RBCS Family,M,01/01/2017,12/31/9999,1,2020,01/01/2017,12/31/9999,0,0
93592,PC000M,P,Procedure,PC,Cardiovascular,000,No RBCS Family,M,01/01/2017,12/31/9999,1,2020,01/01/2017,12/31/9999,0,0
93662,PC000M,P,Procedure,PC,Cardiovascular,000,No RBCS Family,M,01/01/2001,12/31/9999,0,2020,01/01/2014,12/31/2022,0,1
0051T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2004,12/31/2017,1,2020,01/01/2014,12/31/2017,0,0
0052T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2004,12/31/2017,1,2023,01/01/2014,12/31/2017,0,0
0053T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2004,12/31/2017,1,2023,01/01/2014,12/31/2017,0,0
0171T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2007,12/31/2016,1,2021,01/01/2014,12/31/2016,0,1
0172T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2007,12/31/2016,1,2021,01/01/2014,12/31/2016,0,1
0262T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,07/01/2011,12/31/2015,1,2020,01/01/2014,12/31/2015,0,0
0266T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,07/01/2011,12/31/9999,1,2023,01/01/2014,12/31/9999,0,1
0267T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,07/01/2011,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
0268T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,07/01/2011,12/31/9999,1,2023,01/01/2014,12/31/9999,0,1
0269T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,07/01/2011,12/31/9999,1,2021,01/01/2014,12/31/9999,0,0
0270T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,07/01/2011,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
0271T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,07/01/2011,12/31/9999,1,2023,01/01/2014,12/31/9999,0,1
0281T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2012,12/31/2016,1,2020,01/01/2014,12/31/2016,0,0
0293T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2012,12/31/2017,1,2020,01/01/2014,12/31/2017,0,0
0294T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2012,12/31/2017,0,2020,01/01/2014,12/31/2017,0,1
0303T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,07/01/2012,12/31/2017,1,2023,01/01/2014,12/31/2017,0,0
0305T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,07/01/2012,12/31/2017,1,2023,01/01/2014,12/31/2017,0,0
0307T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,07/01/2012,12/31/2017,1,2020,01/01/2014,12/31/2017,0,0
0311T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2013,12/31/2015,1,2020,01/01/2014,12/31/2015,0,0
0319T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2013,12/31/2014,1,2020,01/01/2014,12/31/2014,0,0
0320T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2013,12/31/2014,1,2020,01/01/2014,12/31/2014,0,0
0321T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2013,12/31/2014,1,2020,01/01/2014,12/31/2014,0,0
0322T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2013,12/31/2014,1,2020,01/01/2014,12/31/2014,0,0
0323T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2013,12/31/2014,1,2020,01/01/2014,12/31/2014,0,0
0324T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2013,12/31/2014,1,2020,01/01/2014,12/31/2014,0,0
0325T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2013,12/31/2014,1,2020,01/01/2014,12/31/2014,0,0
0326T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2013,12/31/2014,1,2020,01/01/2014,12/31/2014,0,0
0327T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2013,12/31/2014,1,2020,01/01/2014,12/31/2014,0,0
0328T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2013,12/31/2014,1,2020,01/01/2014,12/31/2014,0,0
0345T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2014,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
0387T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2015,12/31/2018,1,2020,01/01/2015,12/31/2018,0,0
0388T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2015,12/31/2018,1,2020,01/01/2015,12/31/2018,0,0
0389T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2015,12/31/2018,1,2020,01/01/2015,12/31/2018,0,0
0390T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2015,12/31/2018,1,2020,01/01/2015,12/31/2018,0,0
0391T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2015,12/31/2018,1,2020,01/01/2015,12/31/2018,0,0
0408T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2016,12/31/9999,1,2020,01/01/2016,12/31/9999,0,0
0409T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2016,12/31/9999,1,2023,01/01/2016,12/31/9999,0,0
0410T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2016,12/31/9999,1,2023,01/01/2016,12/31/9999,0,0
0412T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2016,12/31/9999,1,2020,01/01/2016,12/31/9999,0,0
0413T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2016,12/31/9999,1,2020,01/01/2016,12/31/9999,0,0
0415T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2016,12/31/9999,1,2020,01/01/2016,12/31/9999,0,0
0416T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2016,12/31/9999,1,2022,01/01/2016,12/31/9999,0,0
0417T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2016,12/31/9999,1,2022,01/01/2016,12/31/9999,0,0
0418T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2016,12/31/9999,1,2023,01/01/2016,12/31/9999,0,1
0451T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2017,12/31/2021,1,2023,01/01/2017,12/31/2021,0,1
0452T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2017,12/31/2021,1,2023,01/01/2017,12/31/2021,0,0
0453T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2017,12/31/2021,1,2023,01/01/2017,12/31/2021,0,0
0454T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2017,12/31/2021,1,2020,01/01/2017,12/31/2021,0,0
0455T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2017,12/31/2021,1,2020,01/01/2017,12/31/2021,0,0
0456T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2017,12/31/2021,1,2023,01/01/2017,12/31/2021,0,0
0457T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2017,12/31/2021,1,2023,01/01/2017,12/31/2021,0,1
0458T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2017,12/31/2021,1,2023,01/01/2017,12/31/2021,0,1
0459T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2017,12/31/2021,1,2023,01/01/2017,12/31/2021,0,0
0460T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2017,12/31/2021,1,2023,01/01/2017,12/31/2021,0,0
0461T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2017,12/31/2021,1,2023,01/01/2017,12/31/2021,0,0
0515T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2019,12/31/9999,1,2022,01/01/2019,12/31/9999,0,0
0519T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2019,12/31/9999,0,2022,01/01/2019,12/31/2020,0,1
0525T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2019,12/31/9999,1,2023,01/01/2019,12/31/9999,0,0
0526T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2019,12/31/9999,1,2023,01/01/2019,12/31/9999,0,0
0527T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2019,12/31/9999,1,2023,01/01/2019,12/31/9999,0,1
0530T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2019,12/31/9999,1,2023,01/01/2019,12/31/9999,0,0
0531T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2019,12/31/9999,1,2023,01/01/2019,12/31/9999,0,0
0532T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2019,12/31/9999,1,2022,01/01/2019,12/31/9999,0,0
0543T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,07/01/2019,12/31/9999,1,2021,07/01/2019,12/31/9999,0,0
0544T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,07/01/2019,12/31/9999,1,2021,07/01/2019,12/31/9999,0,0
0545T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,07/01/2019,12/31/9999,1,2022,07/01/2019,12/31/9999,0,0
0569T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2020,12/31/9999,1,2022,01/01/2020,12/31/9999,0,0
0570T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2020,12/31/9999,1,2022,01/01/2020,12/31/9999,0,0
0613T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,07/01/2020,12/31/9999,1,2022,07/01/2020,12/31/9999,0,0
0643T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,07/01/2021,12/31/9999,1,2023,07/01/2021,12/31/9999,0,0
0644T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,07/01/2021,12/31/9999,1,2023,07/01/2021,12/31/9999,0,0
0645T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,07/01/2021,12/31/9999,1,2023,07/01/2021,12/31/9999,0,0
0646T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,07/01/2021,12/31/9999,1,2023,07/01/2021,12/31/9999,0,0
0659T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,07/01/2021,12/31/9999,1,2023,07/01/2021,12/31/9999,0,0
0716T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,07/01/2022,12/31/9999,1,2023,07/01/2022,12/31/9999,0,0
0806T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,07/01/2023,12/31/9999,1,2024,07/01/2023,12/31/9999,0,0
33010,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/1984,12/31/2019,1,2020,01/01/2014,12/31/2019,0,0
33011,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/1984,12/31/2019,1,2020,01/01/2014,12/31/2019,0,0
33016,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2020,12/31/9999,1,2022,01/01/2020,12/31/9999,0,0
33017,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2020,12/31/9999,1,2022,01/01/2020,12/31/9999,0,0
33018,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2020,12/31/9999,1,2022,01/01/2020,12/31/9999,0,0
33019,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2020,12/31/9999,1,2022,01/01/2020,12/31/9999,0,0
33268,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2022,12/31/9999,1,2023,01/01/2022,12/31/9999,0,0
33282,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2000,12/31/2018,1,2020,01/01/2014,12/31/2018,0,0
33284,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2000,12/31/2018,1,2020,01/01/2014,12/31/2018,0,0
33289,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2019,12/31/9999,1,2021,01/01/2019,12/31/9999,0,0
33509,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2022,12/31/9999,1,2023,01/01/2022,12/31/9999,0,0
33746,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2021,12/31/9999,0,2023,01/01/2021,12/31/2022,0,1
33928,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2018,12/31/9999,1,2023,01/01/2018,12/31/9999,0,0
33929,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2018,12/31/9999,0,2021,01/01/2018,12/31/2019,0,1
33930,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/1986,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
33933,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2005,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
33940,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/1986,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
33944,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2005,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
33948,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2015,12/31/9999,1,2020,01/01/2015,12/31/9999,0,0
33949,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2015,12/31/9999,1,2020,01/01/2015,12/31/9999,0,0
33957,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2015,12/31/9999,1,2023,01/01/2015,12/31/9999,0,0
33958,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2015,12/31/9999,1,2020,01/01/2015,12/31/9999,0,0
33959,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2015,12/31/9999,1,2020,01/01/2015,12/31/9999,0,0
33962,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2015,12/31/9999,1,2020,01/01/2015,12/31/9999,0,0
33965,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2015,12/31/9999,1,2020,01/01/2015,12/31/9999,0,0
33966,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2015,12/31/9999,1,2020,01/01/2015,12/31/9999,0,0
33969,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2015,12/31/9999,1,2020,01/01/2015,12/31/9999,0,0
33984,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2015,12/31/9999,1,2020,01/01/2015,12/31/9999,0,0
33992,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2013,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
33993,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2013,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
33997,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2021,12/31/9999,1,2023,01/01/2021,12/31/9999,0,0
33999,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/1984,12/31/9999,1,2024,01/01/2014,12/31/9999,0,1
34806,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2008,12/31/2017,0,2020,01/01/2014,12/31/2017,0,1
35697,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2004,12/31/9999,1,2024,01/01/2014,12/31/9999,0,1
76930,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/1984,12/31/2019,1,2020,01/01/2014,12/31/2019,0,0
76932,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/1990,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
92925,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2013,12/31/9999,1,2025,01/01/2014,12/31/9999,0,1
92950,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/1984,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
92953,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/1988,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
92960,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/1982,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
92961,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2000,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
92970,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/1984,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
92971,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/1984,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
92977,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/1986,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
92992,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/1994,12/31/2020,1,2020,01/01/2014,12/31/2020,0,0
92993,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/1994,12/31/2020,1,2020,01/01/2014,12/31/2020,0,0
93319,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2022,12/31/9999,0,2023,01/01/2022,12/31/2022,0,1
93462,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2011,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
93503,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/1984,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
93505,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/1984,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
99190,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/1984,12/31/9999,1,2021,01/01/2014,12/31/9999,0,0
99192,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/1984,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
C9750,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,10/01/2018,12/31/2018,1,2020,10/01/2018,12/31/2018,0,0
G0166,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2000,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
G0448,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2012,12/31/9999,0,2020,01/01/2014,12/31/2023,0,1
G0458,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2013,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
33340,PC002M,P,Procedure,PC,Cardiovascular,002,Percutaneous Transcatheterization,M,01/01/2017,12/31/9999,1,2020,01/01/2017,12/31/9999,0,0
33361,PC002M,P,Procedure,PC,Cardiovascular,002,Percutaneous Transcatheterization,M,01/01/2013,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
33362,PC002M,P,Procedure,PC,Cardiovascular,002,Percutaneous Transcatheterization,M,01/01/2013,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
33363,PC002M,P,Procedure,PC,Cardiovascular,002,Percutaneous Transcatheterization,M,01/01/2013,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
33364,PC002M,P,Procedure,PC,Cardiovascular,002,Percutaneous Transcatheterization,M,01/01/2013,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
33365,PC002M,P,Procedure,PC,Cardiovascular,002,Percutaneous Transcatheterization,M,01/01/2013,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
33366,PC002M,P,Procedure,PC,Cardiovascular,002,Percutaneous Transcatheterization,M,01/01/2014,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
33367,PC002M,P,Procedure,PC,Cardiovascular,002,Percutaneous Transcatheterization,M,01/01/2013,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
33368,PC002M,P,Procedure,PC,Cardiovascular,002,Percutaneous Transcatheterization,M,01/01/2013,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
33369,PC002M,P,Procedure,PC,Cardiovascular,002,Percutaneous Transcatheterization,M,01/01/2013,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
33418,PC002M,P,Procedure,PC,Cardiovascular,002,Percutaneous Transcatheterization,M,01/01/2015,12/31/9999,1,2020,01/01/2015,12/31/9999,0,0
33419,PC002M,P,Procedure,PC,Cardiovascular,002,Percutaneous Transcatheterization,M,01/01/2015,12/31/9999,1,2020,01/01/2015,12/31/9999,0,0
33477,PC002M,P,Procedure,PC,Cardiovascular,002,Percutaneous Transcatheterization,M,01/01/2016,12/31/9999,1,2020,01/01/2016,12/31/9999,0,0
33880,PC002M,P,Procedure,PC,Cardiovascular,002,Percutaneous Transcatheterization,M,01/01/2006,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
33881,PC002M,P,Procedure,PC,Cardiovascular,002,Percutaneous Transcatheterization,M,01/01/2006,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
33883,PC002M,P,Procedure,PC,Cardiovascular,002,Percutaneous Transcatheterization,M,01/01/2006,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
33884,PC002M,P,Procedure,PC,Cardiovascular,002,Percutaneous Transcatheterization,M,01/01/2006,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
33886,PC002M,P,Procedure,PC,Cardiovascular,002,Percutaneous Transcatheterization,M,01/01/2006,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
33900,PC002M,P,Procedure,PC,Cardiovascular,002,Percutaneous Transcatheterization,M,01/01/2023,12/31/9999,1,2024,01/01/2023,12/31/9999,0,0
33901,PC002M,P,Procedure,PC,Cardiovascular,002,Percutaneous Transcatheterization,M,01/01/2023,12/31/9999,1,2024,01/01/2023,12/31/9999,0,0
33902,PC002M,P,Procedure,PC,Cardiovascular,002,Percutaneous Transcatheterization,M,01/01/2023,12/31/9999,1,2024,01/01/2023,12/31/9999,0,0
33903,PC002M,P,Procedure,PC,Cardiovascular,002,Percutaneous Transcatheterization,M,01/01/2023,12/31/9999,1,2024,01/01/2023,12/31/9999,0,0
33904,PC002M,P,Procedure,PC,Cardiovascular,002,Percutaneous Transcatheterization,M,01/01/2023,12/31/9999,1,2025,01/01/2023,12/31/9999,0,1
33970,PC002M,P,Procedure,PC,Cardiovascular,002,Percutaneous Transcatheterization,M,01/01/1984,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
33971,PC002M,P,Procedure,PC,Cardiovascular,002,Percutaneous Transcatheterization,M,01/01/1987,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
33973,PC002M,P,Procedure,PC,Cardiovascular,002,Percutaneous Transcatheterization,M,01/01/1994,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
33974,PC002M,P,Procedure,PC,Cardiovascular,002,Percutaneous Transcatheterization,M,01/01/1994,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
