HCPCS_Cd,RBCS_Id,RBCS_Cat,RBCS_Cat_Desc,RBCS_Cat_Subcat,RBCS_Subcat_Desc,RBCS_FamNumb,RBCS_Family_Desc,RBCS_Major_Ind,HCPCS_Cd_Add_Dt,HCPCS_Cd_End_Dt,RBCS_Latest_Assignment,First_RBCS_Release_Year,RBCS_Analysis_Start_Dt,RBCS_Analysis_End_Dt,Alt_Assignment_Method,RBCS_Id_Ever_Reassigned
A6577,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2024,12/31/9999,1,2025,01/01/2024,12/31/9999,0,0
A6578,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2024,12/31/9999,1,2025,01/01/2024,12/31/9999,0,0
A6579,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2024,12/31/9999,1,2025,01/01/2024,12/31/9999,0,0
A6580,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2024,12/31/9999,1,2025,01/01/2024,12/31/9999,0,0
A6581,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2024,12/31/9999,1,2025,01/01/2024,12/31/9999,0,0
A6582,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2024,12/31/9999,1,2025,01/01/2024,12/31/9999,0,0
A6583,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2024,12/31/9999,1,2025,01/01/2024,12/31/9999,0,0
A6584,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2024,12/31/9999,1,2025,01/01/2024,12/31/9999,1,0
A6585,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2024,12/31/9999,1,2025,01/01/2024,12/31/9999,0,0
A6586,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2024,12/31/9999,1,2025,01/01/2024,12/31/9999,0,0
A6587,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2024,12/31/9999,1,2025,01/01/2024,12/31/9999,0,0
A6588,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2024,12/31/9999,1,2025,01/01/2024,12/31/9999,0,0
A6589,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2024,12/31/9999,1,2025,01/01/2024,12/31/9999,0,0
A6593,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2024,12/31/9999,1,2025,01/01/2024,12/31/9999,1,0
A6594,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2024,12/31/9999,1,2025,01/01/2024,12/31/9999,0,0
A6595,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2024,12/31/9999,1,2025,01/01/2024,12/31/9999,0,0
A6596,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2024,12/31/9999,1,2025,01/01/2024,12/31/9999,0,0
A6597,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2024,12/31/9999,1,2025,01/01/2024,12/31/9999,0,0
A6598,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2024,12/31/9999,1,2025,01/01/2024,12/31/9999,0,0
A6599,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2024,12/31/9999,1,2025,01/01/2024,12/31/9999,0,0
A6600,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2024,12/31/9999,1,2025,01/01/2024,12/31/9999,0,0
A6601,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2024,12/31/9999,1,2025,01/01/2024,12/31/9999,0,0
A6602,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2024,12/31/9999,1,2025,01/01/2024,12/31/9999,0,0
A6603,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2024,12/31/9999,1,2025,01/01/2024,12/31/9999,0,0
A6604,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2024,12/31/9999,1,2025,01/01/2024,12/31/9999,0,0
A6605,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2024,12/31/9999,1,2025,01/01/2024,12/31/9999,0,0
A6606,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2024,12/31/9999,1,2025,01/01/2024,12/31/9999,0,0
A6607,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2024,12/31/9999,1,2025,01/01/2024,12/31/9999,0,0
A6608,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2024,12/31/9999,1,2025,01/01/2024,12/31/9999,0,0
A6609,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2024,12/31/9999,1,2025,01/01/2024,12/31/9999,1,0
A6610,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2024,12/31/9999,1,2025,01/01/2024,12/31/9999,0,0
A7008,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2000,12/31/9999,1,2021,01/01/2014,12/31/9999,0,0
A7048,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2015,12/31/9999,1,2020,01/01/2015,12/31/9999,0,0
A9275,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2006,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
A9595,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2022,12/31/9999,0,2023,01/01/2022,12/31/2023,0,1
A9596,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,07/01/2022,12/31/9999,0,2023,07/01/2022,12/31/2023,0,1
A9602,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,10/01/2022,12/31/9999,0,2023,10/01/2022,12/31/2023,0,1
A9607,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,10/01/2022,12/31/9999,0,2023,10/01/2022,12/31/2022,0,1
A9800,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,10/01/2022,12/31/9999,0,2023,10/01/2022,12/31/2023,0,1
A9999,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2004,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
C1052,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2021,12/31/9999,1,2023,01/01/2021,12/31/9999,0,0
C1601,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2024,12/31/9999,1,2025,01/01/2024,12/31/9999,0,0
C1602,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2024,12/31/9999,1,2025,01/01/2024,12/31/9999,0,0
C1715,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,04/01/2001,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
C1734,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2020,12/31/9999,1,2022,01/01/2020,12/31/9999,0,0
C1747,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2023,12/31/9999,1,2024,01/01/2023,12/31/9999,0,0
C1748,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,07/01/2020,12/31/9999,1,2022,07/01/2020,12/31/9999,0,0
C1761,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,07/01/2021,12/31/9999,1,2023,07/01/2021,12/31/9999,0,0
C1765,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,07/01/2001,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
C1766,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,04/01/2001,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
C1782,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,04/01/2001,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
