ccn,org_name,license_type,term_date,source,regulatory_ref,notes
125009,Maluhia,Hawaii State NF License,2026-07-31,Hawaii OHCA/DCAB Portal (manual check 2026-07-15),HRS §321-11; HAR Title 11 Ch. 94,Expiry confirmed via OHCA portal. Verify renewal at health.hawaii.gov/ohca.
125059,Palolo Chinese Home,Hawaii State NF License,2026-07-31,Hawaii OHCA/DCAB Portal (manual check 2026-07-15),HRS §321-11; HAR Title 11 Ch. 94,Expiry confirmed via OHCA portal. Verify renewal at health.hawaii.gov/ohca.
