ZIP,Population_Total,Population_65Plus,ACS_Year
04401,44854,8687,2024-5yr
04406,675,164,2024-5yr
04408,194,64,2024-5yr
04410,1254,269,2024-5yr
04411,1645,321,2024-5yr
04412,9652,2163,2024-5yr
04413,162,109,2024-5yr
04414,1766,745,2024-5yr
04415,215,47,2024-5yr
04416,5497,1451,2024-5yr
04417,355,115,2024-5yr
04418,1649,299,2024-5yr
04419,2941,485,2024-5yr
04421,1362,271,2024-5yr
04422,1117,129,2024-5yr
04424,983,276,2024-5yr
04426,4999,1112,2024-5yr
04427,2990,487,2024-5yr
04428,3334,823,2024-5yr
04429,5008,817,2024-5yr
04430,1495,386,2024-5yr
04431,63,7,2024-5yr
04434,1252,231,2024-5yr
04435,1093,261,2024-5yr
04438,1098,235,2024-5yr
04441,1839,745,2024-5yr
04442,208,67,2024-5yr
04443,2211,576,2024-5yr
04444,9371,1673,2024-5yr
04448,1540,361,2024-5yr
04449,1251,230,2024-5yr
04450,1333,208,2024-5yr
04451,217,89,2024-5yr
04453,785,139,2024-5yr
04454,11,11,2024-5yr
04455,925,227,2024-5yr
04456,3069,556,2024-5yr
04457,5823,1733,2024-5yr
04459,750,179,2024-5yr
04460,1111,250,2024-5yr
04461,3095,533,2024-5yr
04462,4464,1646,2024-5yr
04463,2582,513,2024-5yr
04464,596,187,2024-5yr
04468,9291,1514,2024-5yr
04469,3531,0,2024-5yr
04471,730,214,2024-5yr
04472,1852,519,2024-5yr
04473,8371,1360,2024-5yr
04474,3853,916,2024-5yr
04475,384,98,2024-5yr
04476,1154,369,2024-5yr
04478,316,238,2024-5yr
04479,1136,274,2024-5yr
04481,547,113,2024-5yr
04485,234,62,2024-5yr
04487,838,231,2024-5yr
04488,1151,163,2024-5yr
04489,214,97,2024-5yr
04490,228,108,2024-5yr
04491,122,49,2024-5yr
04492,175,41,2024-5yr
04493,1840,527,2024-5yr
04495,287,87,2024-5yr
04496,3850,732,2024-5yr
04497,311,95,2024-5yr
04530,11275,2961,2024-5yr
04535,818,142,2024-5yr
04537,1685,466,2024-5yr
04538,1810,877,2024-5yr
04539,1456,486,2024-5yr
04541,45,25,2024-5yr
04543,2192,683,2024-5yr
04544,978,321,2024-5yr
04547,1213,452,2024-5yr
04548,1012,335,2024-5yr
04551,917,313,2024-5yr
04553,1913,466,2024-5yr
04554,514,350,2024-5yr
04555,1906,532,2024-5yr
04556,1251,307,2024-5yr
04558,382,167,2024-5yr
04562,2238,770,2024-5yr
04563,1460,300,2024-5yr
04564,520,220,2024-5yr
04568,512,205,2024-5yr
04570,3,0,2024-5yr
04571,439,312,2024-5yr
04572,5253,1188,2024-5yr
04573,557,123,2024-5yr
04574,1624,346,2024-5yr
04575,286,109,2024-5yr
04576,547,285,2024-5yr
04578,4709,1384,2024-5yr
04579,3158,1071,2024-5yr
04605,14529,3339,2024-5yr
04606,1045,255,2024-5yr
04607,1142,369,2024-5yr
04609,5244,1317,2024-5yr
04611,498,150,2024-5yr
04612,505,182,2024-5yr
04613,92,47,2024-5yr
04614,2813,833,2024-5yr
04616,869,215,2024-5yr
04617,651,279,2024-5yr
04619,3097,746,2024-5yr
04622,1050,325,2024-5yr
04623,1173,292,2024-5yr
04624,225,151,2024-5yr
04625,62,16,2024-5yr
04626,492,148,2024-5yr
04627,2137,533,2024-5yr
04628,582,127,2024-5yr
04630,1230,238,2024-5yr
04631,1263,535,2024-5yr
04634,2374,605,2024-5yr
04635,30,19,2024-5yr
04640,2450,761,2024-5yr
04642,202,76,2024-5yr
04643,917,293,2024-5yr
04645,69,56,2024-5yr
04646,134,23,2024-5yr
04648,570,88,2024-5yr
04649,1166,309,2024-5yr
04650,333,79,2024-5yr
04652,1525,627,2024-5yr
04653,719,97,2024-5yr
04654,3340,766,2024-5yr
04655,1016,303,2024-5yr
04657,326,100,2024-5yr
04658,1222,369,2024-5yr
04660,1072,336,2024-5yr
04662,476,91,2024-5yr
04664,1246,280,2024-5yr
04666,1178,342,2024-5yr
04667,1296,227,2024-5yr
04668,2010,476,2024-5yr
04669,171,68,2024-5yr
04671,621,168,2024-5yr
